_vid_,inferred_val,inferred_val_idx,prob
553,2016-07-22t18:28:16-04:00,115,0.06037386134266853
554,female,0,0.9845356345176697
556,1,0,0.3333333432674408
557,['jd'],0,0.500028133392334
558,mr.,0,0.7040627598762512
559,2016-07-22t18:28:16-04:00,115,0.060372792184352875
560,female,0,0.9850231409072876
562,1,0,0.3333333432674408
563,['jd'],0,0.5000414848327637
564,ms.,1,0.985218346118927
565,2016-07-22t18:28:16-04:00,115,0.06022126227617264
566,male,1,0.975921094417572
568,1,0,0.3333333432674408
569,['jd'],0,0.5000176429748535
570,mr.,0,0.6945617198944092
571,2016-07-22t18:28:16-04:00,115,0.060707274824380875
572,female,0,0.976975679397583
574,2,1,0.33348169922828674
575,['jd'],0,0.500028133392334
576,mr.,0,0.7040624022483826
